-29992
-29999
-29981
-29939
-29873
-29782
-29668
-29529
-29366
-29179
-28969
-28735
-28478
-28198
-27895
-27569
-27220
-26850
-26458
-26044
-25610
-25154
-24678
-24182
-23666
-23132
-22578
-22006
-21416
-20809
-20185
-19544
-18888
-18216
-17530
-16829
-16114
-15387
-14647
-13895
-13132
-12358
-11574
-10781
-9979ª
-9169ª
-8351ª
-7527ª
-6696ª
-5861ª
-5020ª
-4175ª
-3327ª
-2476ª
-1623ª
-769ªª
85ªªªª
939ªªª
1793ªª
2646ªª
3496ªª
4343ªª
5187ªª
6027ªª
6862ªª
7691ªª
8514ªª
9331ªª
10139ª
10939ª
11731ª
12513ª
13285ª
14046ª
14795ª
15533ª
16258ª
16969ª
17667ª
18351ª
19020ª
19673ª
20310ª
20931ª
21535ª
22121ª
22690ª
23239ª
23771ª
24282ª
24774ª
25246ª
25698ª
26128ª
26538ª
26926ª
27292ª
27635ª
27957ª
28255ª
28531ª
28784ª
29013ª
29218ª
29400ª
29558ª
29692ª
29802ª
29888ª
29950ª
29987ª
29999ª
29988ª
29952ª
29892ª
29807ª
29699ª
29566ª
29409ª
29228ª
29024ª
28796ª
28545ª
28270ª
27972ª
27652ª
27310ª
26945ª
26558ª
26150ª
25720ª
25270ª
24799ª
24308ª
23797ª
23267ª
22718ª
22151ª
21565ª
20962ª
20342ª
19706ª
19053ª
18385ª
17703ª
17005ª
16294ª
15570ª
14833ª
14084ª
13324ª
12552ª
11771ª
10980ª
10180ª
9372ªª
8556ªª
7734ªª
6905ªª
6070ªª
5230ªª
4387ªª
3539ªª
2689ªª
1837ªª
983ªªª
128ªªª
-726ªª
-1580ª
-2433ª
-3284ª
-4132ª
-4977ª
-5818ª
-6654ª
-7485ª
-8309ª
-9127ª
-9938ª
-10740
-11534
-12318
-13093
-13856
-14609
-15349
-16078
-16793
-17494
-18181
-18854
-19511
-20152
-20777
-21385
-21976
-22549
-23104
-23640
-24156
-24653
-25130
-25587
-26023
-26437
-26831
-27202
-27551
-27878
-28183
-28464
-28723
-28958
-29169
-29357
-29521
-29661
-29777
-29869
-29936
-29980
-29999
-29993
-29963
-29909
-29831
-29728
-29601
-29450
-29276
-29077
-28855
-28610
-28341
-28049
-27734
-27397
-27038
-26657
-26254
-25830
-25384
-24919
-24433
-23927
-23401
-22857
-22294
-21713
-21115
-20499
-19866
-19218
-18554
-17875
-17181
-16473
-15752
-15018
-14272
-13515
-12746
-11967
-11179
-10381
-9575ª
-8761ª
-7940ª
-7112ª
-6279ª
-5441ª
-4598ª
-3751ª
-2902ª
-2050ª
-1196ª
-342ªª
512ªªª
1366ªª
2220ªª
3071ªª
3920ªª
4766ªª
5608ªª
6445ªª
7277ªª
8104ªª
8923ªª
9736ªª
10540ª
11336ª
12123ª
12900ª
13666ª
14422ª
15165ª
15897ª
16615ª
17320ª
18011ª
18687ª
19348ª
19994ª
20623ª
21235ª
21830ª
22408ª
22967ª
23507ª
24029ª
24531ª
25013ª
25475ª
25916ª
26336ª
26734ª
27111ª
27466ª
27799ª
28109ª
28396ª
28660ª
28901ª
29119ª
29312ª
29482ª
29628ª
29750ª
29848ª
29922ª
29971ª
29996ª
29997ª
29973ª
29925ª
29853ª
29756ª
29635ª
29490ª
29322ª
29129ª
28913ª
28673ª
28410ª
28124ª
27815ª
27484ª
27130ª
26754ª
26357ª
25938ª
25498ª
25037ª
24556ª
24055ª
23534ª
22995ª
22437ª
21860ª
21266ª
20654ª
20026ª
19382ª
18721ª
18046ª
17356ª
16651ª
15934ª
15203ª
14460ª
13705ª
12939ª
12163ª
11377ª
10581ª
9777ªª
8965ªª
8146ªª
7320ªª
6488ªª
5651ªª
4809ªª
3963ªª
3115ªª
2263ªª
1410ªª
556ªªª
-298ªª
-1153ª
-2006ª
-2858ª
-3708ª
-4555ª
-5398ª
-6236ª
-7070ª
-7898ª
-8719ª
-9533ª
-10340
-11138
-11927
-12707
-13476
-14234
-14981
-15715
-16437
-17145
-17840
-18519
-19184
-19834
-20467
-21084
-21683
-22265
-22829
-23374
-23900
-24407
-24894
-25361
-25807
-26233
-26637
-27019
-27380
-27718
-28033
-28326
-28596
-28843
-29066
-29266
-29442
-29594
-29722
-29826
-29906
-29961
-29992
-29999
-29981
-29939
-29873
-29782
-29668
-29529
-29366
-29179
-28969
-28735
-28478
-28198
-27895
-27569
-27220
-26850
-26458
-26044
-25610
-25154
-24678
-24182
-23666
-23132
-22578
-22006
-21416
-20809
-20185
-19544
-18888
-18216
-17530
-16829
-16114
-15387
-14647
-13895
-13132
-12358
-11574
-10781
-9979ª
-9169ª
-8351ª
-7527ª
-6696ª
-5861ª
-5020ª
-4175ª
-3327ª
-2476ª
-1623ª
-769ªª
85ªªªª
939ªªª
1793ªª
2646ªª
3496ªª
4343ªª
5187ªª
6027ªª
6862ªª
7691ªª
8514ªª
9331ªª
10139ª
10939ª
11731ª
12513ª
13285ª
14046ª
14795ª
15533ª
16258ª
16969ª
17667ª
18351ª
19020ª
19673ª
20310ª
20931ª
21535ª
22121ª
22690ª
23239ª
23771ª
24282ª
24774ª
25246ª
25698ª
26128ª
26538ª
26926ª
27292ª
27635ª
27957ª
28255ª
28531ª
28784ª
29013ª
29218ª
29400ª
29558ª
29692ª
29802ª
29888ª
29950ª
29987ª
29999ª
29988ª
29952ª
29892ª
29807ª
29699ª
29566ª
29409ª
29228ª
29024ª
28796ª
28545ª
28270ª
27972ª
27652ª
27310ª
26945ª
26558ª
26150ª
25720ª
25270ª
24799ª
24308ª
23797ª
23267ª
22718ª
22151ª
21565ª
20962ª
20342ª
19706ª
19053ª
18385ª
17703ª
17005ª
16294ª
15570ª
14833ª
14084ª
13324ª
12552ª
11771ª
10980ª
10180ª
9372ªª
8556ªª
7734ªª
6905ªª
6070ªª
5230ªª
4387ªª
3539ªª
2689ªª
1837ªª
983ªªª
128ªªª
-726ªª
-1580ª
-2433ª
-3284ª
-4132ª
-4977ª
-5818ª
-6654ª
-7485ª
-8309ª
-9127ª
-9938ª
-10740
-11534
-12318
-13093
-13856
-14609
-15349
-16078
-16793
-17494
-18181
-18854
-19511
-20152
-20777
-21385
-21976
-22549
-23104
-23640
-24156
-24653
-25130
-25587
-26023
-26437
-26831
-27202
-27551
-27878
-28183
-28464
-28723
-28958
-29169
-29357
-29521
-29661
-29777
-29869
-29936
-29980
-29999
-29993
-29963
-29909
-29831
-29728
-29601
-29450
-29276
-29077
-28855
-28610
-28341
-28049
-27734
-27397
-27038
-26657
-26254
-25830
-25384
-24919
-24433
-23927
-23401
-22857
-22294
-21713
-21115
-20499
-19866
-19218
-18554
-17875
-17181
-16473
-15752
-15018
-14272
-13515
-12746
-11967
-11179
-10381
-9575ª
-8761ª
-7940ª
-7112ª
-6279ª
-5441ª
-4598ª
-3751ª
-2902ª
-2050ª
-1196ª
-342ªª
512ªªª
1366ªª
2220ªª
3071ªª
3920ªª
4766ªª
5608ªª
6445ªª
7277ªª
8104ªª
8923ªª
9736ªª
10540ª
11336ª
12123ª
12900ª
13666ª
14422ª
15165ª
15897ª
16615ª
17320ª
18011ª
18687ª
19348ª
19994ª
20623ª
21235ª
21830ª
22408ª
22967ª
23507ª
24029ª
24531ª
25013ª
25475ª
25916ª
26336ª
26734ª
27111ª
27466ª
27799ª
28109ª
28396ª
28660ª
28901ª
29119ª
29312ª
29482ª
29628ª
29750ª
29848ª
29922ª
29971ª
29996ª
29997ª
29973ª
29925ª
29853ª
29756ª
29635ª
29490ª
29322ª
29129ª
28913ª
28673ª
28410ª
28124ª
27815ª
27484ª
27130ª
26754ª
26357ª
25938ª
25498ª
25037ª
24556ª
24055ª
23534ª
22995ª
22437ª
21860ª
21266ª
20654ª
20026ª
19382ª
18721ª
18046ª
17356ª
16651ª
15934ª
15203ª
14460ª
13705ª
12939ª
12163ª
11377ª
10581ª
9777ªª
8965ªª
8146ªª
7320ªª
6488ªª
5651ªª
4809ªª
3963ªª
3115ªª
2263ªª
1410ªª
556ªªª
-298ªª
-1153ª
-2006ª
-2858ª
-3708ª
-4555ª
-5398ª
-6236ª
-7070ª
-7898ª
-8719ª
-9533ª
-10340
-11138
-11927
-12707
-13476
-14234
-14981
-15715
-16437
-17145
-17840
-18519
-19184
-19834
-20467
-21084
-21683
-22265
-22829
-23374
-23900
-24407
-24894
-25361
-25807
-26233
-26637
-27019
-27380
-27718
-28033
-28326
-28596
-28843
-29066
-29266
-29442
-29594
-29722
-29826
-29906
-29961
-29992
-29999
-29981
-29939
-29873
-29782
-29668
-29529
-29366
-29179
-28969
-28735
-28478
-28198
-27895
-27569
-27220
-26850
-26458
-26044
-25610
-25154
-24678
-24182
-23666
-23132
-22578
-22006
-21416
-20809
-20185
-19544
-18888
-18216
-17530
-16829
-16114
-15387
-14647
-13895
-13132
-12358
-11574
-10781
-9979ª
-9169ª
-8351ª
-7527ª
-6696ª
-5861ª
-5020ª
-4175ª
-3327ª
-2476ª
-1623ª
-769ªª
85ªªªª
939ªªª
1793ªª
2646ªª
3496ªª
4343ªª
5187ªª
6027ªª
6862ªª
7691ªª
8514ªª
9331ªª
10139ª
10939ª
11731ª
12513ª
13285ª
14046ª
14795ª
15533ª
16258ª
16969ª
17667ª
18351ª
19020ª
19673ª
20310ª
20931ª
21535ª
22121ª
22690ª
23239ª
23771ª
24282ª
24774ª
25246ª
25698ª
26128ª
26538ª
26926ª
